"","Date","Open","High","Low","Close","Volume","OI"
"244",2024-06-28 07:48:00,24383.2,24383.2,24383.2,24383.2,25,47875
"245",2024-06-28 07:49:00,24367.95,24367.95,24367.95,24367.95,25,48225
"246",2024-06-28 07:50:00,24374.85,24374.85,24374.85,24374.85,25,48225
"247",2024-06-28 07:51:00,24373.15,24377.2,24369.3,24374.7,1150,48400
"248",2024-06-28 07:52:00,24374.7,24374.7,24374.7,24374.7,0,48400
"249",2024-06-28 07:53:00,24374.7,24374.7,24374.7,24374.7,0,48400
"250",2024-06-28 07:54:00,24366.4,24379.1,24366.4,24379.1,75,48750
"251",2024-06-28 07:55:00,24379,24385.4,24379,24385.4,150,48750
"252",2024-06-28 07:56:00,24380.85,24380.85,24380.85,24380.85,25,48750
"253",2024-06-28 07:57:00,24378,24380,24378,24380,100,48875
"254",2024-06-28 07:58:00,24387.8,24387.8,24381.75,24381.75,100,48875
"255",2024-06-28 07:59:00,24381.75,24381.75,24381.75,24381.75,0,48875
"256",2024-06-28 08:00:00,24381,24381,24381,24381,25,48875
"257",2024-06-28 08:01:00,24386,24393.75,24386,24393.75,1875,49000
"258",2024-06-28 08:02:00,24385,24385,24384.7,24384.7,525,49000
"259",2024-06-28 08:03:00,24375,24377.95,24375,24377.95,100,50625
"260",2024-06-28 08:04:00,24375,24375,24369.45,24369.45,475,50625
"261",2024-06-28 08:05:00,24368.9,24374.7,24365.7,24367.55,175,50625
"262",2024-06-28 08:06:00,24380,24383.45,24379.1,24383.45,175,50625
"263",2024-06-28 08:07:00,24383.45,24383.45,24383.45,24383.45,0,50625
"264",2024-06-28 08:08:00,24383.45,24383.45,24383.45,24383.45,50,50775
"265",2024-06-28 08:09:00,24385,24385,24385,24385,75,50775
"266",2024-06-28 08:10:00,24384.45,24384.45,24384.45,24384.45,25,50775
"267",2024-06-28 08:11:00,24384.45,24384.45,24384.45,24384.45,0,50775
"268",2024-06-28 08:12:00,24393.8,24394.05,24393.8,24394.05,50,50800
"269",2024-06-28 08:13:00,24398,24400,24389.2,24389.2,300,50800
"270",2024-06-28 08:14:00,24395.2,24395.2,24395.2,24395.2,25,50800
"271",2024-06-28 08:15:00,24395.35,24395.35,24395.35,24395.35,25,50800
"272",2024-06-28 08:16:00,24395.35,24395.35,24395.35,24395.35,0,50800
"273",2024-06-28 08:17:00,24395.2,24395.2,24395.2,24395.2,25,50950
"274",2024-06-28 08:18:00,24395.2,24395.2,24395.2,24395.2,0,50950
"275",2024-06-28 08:19:00,24395,24395,24395,24395,25,50975
"276",2024-06-28 08:20:00,24395,24395,24395,24395,0,50975
"277",2024-06-28 08:21:00,24395.2,24395.2,24395,24395,225,50900
"278",2024-06-28 08:22:00,24390.95,24399,24390.9,24399,275,50900
"279",2024-06-28 08:23:00,24399,24399,24395.05,24395.2,500,50900
"280",2024-06-28 08:24:00,24395,24395.2,24395,24395,125,51175
"281",2024-06-28 08:25:00,24399,24399,24398.95,24398.95,500,51175
"282",2024-06-28 08:26:00,24398.95,24398.95,24397.05,24397.05,150,51175
"283",2024-06-28 08:27:00,24398.35,24399,24397,24399,250,51825
"284",2024-06-28 08:28:00,24399,24400,24399,24400,825,51825
"285",2024-06-28 08:29:00,24406.8,24406.8,24406.8,24406.8,25,51825
"286",2024-06-28 08:30:00,24406.85,24406.85,24406.8,24406.8,50,51825
"287",2024-06-28 08:31:00,24408.1,24408.1,24406,24408.1,275,52075
"288",2024-06-28 08:32:00,24408.4,24410,24407,24407,150,52075
"289",2024-06-28 08:33:00,24410.95,24421,24409,24421,750,52400
"290",2024-06-28 08:34:00,24412.9,24419.7,24412.9,24415,450,52400
"291",2024-06-28 08:35:00,24420.6,24421.7,24417.05,24421,350,52400
"292",2024-06-28 08:36:00,24421,24421,24417,24417,300,53225
"293",2024-06-28 08:37:00,24425,24439.7,24425,24434.5,1075,53225
"294",2024-06-28 08:38:00,24438,24439,24438,24439,50,53225
"295",2024-06-28 08:39:00,24440,24450,24440,24445,500,54150
"296",2024-06-28 08:40:00,24449.05,24450,24446.35,24450,400,54150
"297",2024-06-28 08:41:00,24446.35,24446.35,24437.9,24438.95,375,54150
"298",2024-06-28 08:42:00,24443.95,24443.95,24443.95,24443.95,25,54150
"299",2024-06-28 08:43:00,24440,24444.8,24439.9,24444.8,550,54400
"300",2024-06-28 08:44:00,24435.35,24440.75,24435,24440.05,475,54400
"301",2024-06-28 08:45:00,24440.75,24450,24440.4,24450,600,54000
"302",2024-06-28 08:46:00,24445.9,24450,24445.65,24445.65,800,54000
"303",2024-06-28 08:47:00,24445.5,24445.65,24436.8,24436.8,175,54000
"304",2024-06-28 08:48:00,24430,24430,24430,24430,25,54150
"305",2024-06-28 08:49:00,24429.05,24444.8,24429.05,24444.7,725,54150
"306",2024-06-28 08:50:00,24444.7,24447.05,24439.25,24447.05,275,54150
"307",2024-06-28 08:51:00,24436.7,24448.05,24431.3,24442.5,150,54300
"308",2024-06-28 08:52:00,24442.45,24442.45,24439.35,24441.4,325,54300
"309",2024-06-28 08:53:00,24442,24444.2,24440.15,24440.2,275,54300
"310",2024-06-28 08:54:00,24437.25,24444.35,24435,24435,400,54600
"311",2024-06-28 08:55:00,24435,24435,24434.3,24434.6,300,54600
"312",2024-06-28 08:56:00,24430.05,24430.05,24430,24430,125,54600
"313",2024-06-28 08:57:00,24434.6,24435,24434.6,24435,50,54600
"314",2024-06-28 08:58:00,24435,24435,24435,24435,0,54900
"315",2024-06-28 08:59:00,24430.05,24430.05,24415.9,24415.9,300,54900
"316",2024-06-28 09:00:00,24415.1,24417.9,24415.1,24417.9,75,54750
"317",2024-06-28 09:01:00,24425,24430.85,24410,24410,625,54750
"318",2024-06-28 09:02:00,24408,24408,24378,24378,700,54750
"319",2024-06-28 09:03:00,24390,24397.6,24386.15,24386.15,875,55175
"320",2024-06-28 09:04:00,24388.8,24390,24382.9,24384.4,375,55175
"321",2024-06-28 09:05:00,24387,24389,24385,24389,825,55175
"322",2024-06-28 09:06:00,24390.85,24396.8,24385,24386.3,200,55375
"323",2024-06-28 09:07:00,24385.95,24389,24385,24389,250,55375
"324",2024-06-28 09:08:00,24388.25,24391.35,24387.95,24388,675,55375
"325",2024-06-28 09:09:00,24392.05,24392.05,24392.05,24392.05,50,55375
"326",2024-06-28 09:10:00,24399,24399,24386.85,24392.65,225,55725
"327",2024-06-28 09:11:00,24391.9,24391.9,24381.05,24381.05,75,55725
"328",2024-06-28 09:12:00,24386,24386,24380,24380.05,250,55725
"329",2024-06-28 09:13:00,24375,24377.9,24374.05,24377.9,500,55850
"330",2024-06-28 09:14:00,24398,24398,24398,24398,25,55850
"331",2024-06-28 09:15:00,24400,24410,24400,24410,350,55850
"332",2024-06-28 09:16:00,24411.3,24411.3,24411.3,24411.3,25,56050
"333",2024-06-28 09:17:00,24415.05,24415.05,24415,24415,125,56050
"334",2024-06-28 09:18:00,24414.4,24414.4,24410.65,24410.65,575,56150
"335",2024-06-28 09:19:00,24415.45,24415.45,24415.45,24415.45,75,56150
"336",2024-06-28 09:20:00,24420.4,24420.4,24418,24418,225,56150
"337",2024-06-28 09:21:00,24421,24421,24411.65,24419.45,175,56850
"338",2024-06-28 09:22:00,24413.05,24413.05,24413.05,24413.05,25,56850
"339",2024-06-28 09:23:00,24417.1,24417.1,24417.1,24417.1,25,56850
"340",2024-06-28 09:24:00,24420.95,24420.95,24420.95,24420.95,25,56850
"341",2024-06-28 09:25:00,24415.45,24415.45,24415.4,24415.4,300,56900
"342",2024-06-28 09:26:00,24422.95,24422.95,24417.5,24421,75,56900
